text,cleaned,preprocessed
not much.;;;;,not much ,much
"this friday, i'm throwing a party.;;;;",this friday i m throwing a party ,friday throwing party
oh really? i didn't know that.;;;;,oh really i didn t know that ,oh really know
are you serious?;;;;,are you serious ,serious
i haven't heard anything about it.;;;;,i haven t heard anything about it ,heard anything
can you make it?;;;;,can you make it ,make
what time does it start?;;;;,what time does it start ,time start
the party starts at 8.;;;;,the party starts at ,party starts
"yeah, i think i'll go.;;;;",yeah i think i ll go ,yeah think go
what's going on?;;;;,what s going on ,going
"nothing really, you?;;;;",nothing really you ,nothing really
i'm throwing a party next saturday.;;;;,i m throwing a party next saturday ,throwing party next saturday
is that right?;;;;,is that right ,right
"yeah, are you going to come?;;;;",yeah are you going to come ,yeah going come
"i'm sorry, i can't.;;;;",i m sorry i can t ,sorry
why not?;;;;,why not ,
i don't really want to.;;;;,i don t really want to ,really want
"well, why don't you?;;;;",well why don t you ,well
i hate going to parties.;;;;,i hate going to parties ,hate going parties
"well, that's okay.;;;;",well that s okay ,well okay
what's up?;;;;,what s up ,
"nothing, how about you?;;;;",nothing how about you ,nothing
"next saturday, i'm going to have a party.;;;;",next saturday i m going to have a party ,next saturday going party
"oh, really?;;;;",oh really ,oh really
you are coming?;;;;,you are coming ,coming
probably not.;;;;,probably not ,probably
why is that?;;;;,why is that ,
i don't feel like going.;;;;,i don t feel like going ,feel like going
why not?;;;;,why not ,
i really can't stand going to parties.;;;;,i really can t stand going to parties ,really stand going parties
"i understand, i guess.;;;;",i understand i guess ,understand guess
what's happening?;;;;,what s happening ,happening
"not a lot, what about you?;;;;",not a lot what about you ,lot
i'm having a party next saturday.;;;;,i m having a party next saturday ,party next saturday
that's nice.;;;;,that s nice ,nice
are you going to be there?;;;;,are you going to be there ,going
i don't think so.;;;;,i don t think so ,think
is there a reason why?;;;;,is there a reason why ,reason
i just really don't want to go.;;;;,i just really don t want to go ,really want go
how come?;;;;,how come ,come
i don't really like parties.;;;;,i don t really like parties ,really like parties
what's up?;;;;,what s up ,
"nothing much, what's going on?;;;;",nothing much what s going on ,nothing much going
i'm having a party this friday.;;;;,i m having a party this friday ,party friday
"oh, really? that's nice.;;;;",oh really that s nice ,oh really nice
i wanted to see if you wanted to come.;;;;,i wanted to see if you wanted to come ,wanted see wanted come
"this friday? sorry, i already have plans.;;;;",this friday sorry i already have plans ,friday sorry already plans
doing what?;;;;,doing what ,
i'm going to dinner with my family.;;;;,i m going to dinner with my family ,going dinner family
"i really wanted you to come, but i understand.;;;;",i really wanted you to come but i understand ,really wanted come understand
"yeah, maybe next time.;;;;",yeah maybe next time ,yeah maybe next time
i'll hold you to that.;;;;,i ll hold you to that ,hold
"hey, what's good with you?;;;;",hey what s good with you ,hey good
not a lot. what about you?;;;;,not a lot what about you ,lot
i'm throwing a party on friday.;;;;,i m throwing a party on friday ,throwing party friday
that sounds like fun.;;;;,that sounds like fun ,sounds like fun
do you think you can come?;;;;,do you think you can come ,think come
i'm sorry. i'm already doing something this friday.;;;;,i m sorry i m already doing something this friday ,sorry already something friday
what are you going to be doing?;;;;,what are you going to be doing ,going
my family and i are going to dinner.;;;;,my family and i are going to dinner ,family going dinner
i was hoping you would come.;;;;,i was hoping you would come ,hoping would come
i'll definitely try to make it the next time.;;;;,i ll definitely try to make it the next time ,definitely try make next time
i'd better see you there.;;;;,i d better see you there ,better see
what's going on?;;;;,what s going on ,going
nothing really. how about you?;;;;,nothing really how about you ,nothing really
"a lot, like the party i'm having on friday.;;;;",a lot like the party i m having on friday ,lot like party friday
"well, that's cool.;;;;",well that s cool ,well cool
will you be able to make it?;;;;,will you be able to make it ,able make
i'm busy this friday. i'm sorry.;;;;,i m busy this friday i m sorry ,busy friday sorry
what do you have to do?;;;;,what do you have to do ,
i'm having dinner with my family;;;;,i m having dinner with my family ,dinner family
maybe you can come next time.;;;;,maybe you can come next time ,maybe come next time
i'll make sure and come to your next party.;;;;,i ll make sure and come to your next party ,make sure come next party
it was nice talking to you.;;;;,it was nice talking to you ,nice talking
why are you trying to rush me off the phone?;;;;,why are you trying to rush me off the phone ,trying rush phone
i really have to go.;;;;,i really have to go ,really go
why? i still wanted to talk to you.;;;;,why i still wanted to talk to you ,still wanted talk
i have things to do.;;;;,i have things to do ,things
like what?;;;;,like what ,like
don't be nosey.;;;;,don t be nosey ,nosey
i'm not. i just want to know.;;;;,i m not i just want to know ,want know
"well, it's really none of your business.;;;;",well it s really none of your business ,well really none business
that's harsh.;;;;,that s harsh ,harsh
"i'm sorry, but i have to go.;;;;",i m sorry but i have to go ,sorry go
i've enjoyed conversing with you.;;;;,i ve enjoyed conversing with you ,enjoyed conversing
is there a reason why you're trying to get off the phone so fast?;;;;,is there a reason why you re trying to get off the phone so fast ,reason trying get phone fast
i've got to go.;;;;,i ve got to go ,got go
i wasn't done talking to you.;;;;,i wasn t done talking to you ,done talking
"i have to do some things, and besides, it's not polite to be nosey.;;;;",i have to do some things and besides it s not polite to be nosey ,things besides polite nosey
i'm not being nosey. i'm just asking.;;;;,i m not being nosey i m just asking ,nosey asking
i really don't think it's any of your business.;;;;,i really don t think it s any of your business ,really think business
that's not nice.;;;;,that s not nice ,nice
"i apologize, but i'm getting off the phone now.;;;;",i apologize but i m getting off the phone now ,apologize getting phone
i'll talk to you later.;;;;,i ll talk to you later ,talk later
what's the rush?;;;;,what s the rush ,rush
i have to get off the phone now.;;;;,i have to get off the phone now ,get phone
i'm not ready to get off the phone with you.;;;;,i m not ready to get off the phone with you ,ready get phone
there are other things i need to take care of.;;;;,there are other things i need to take care of ,things need take care
what is it that you need to do? ;;;;,what is it that you need to do ,need
please don't be nosey.;;;;,please don t be nosey ,please nosey
"i'm not being nosey, it's just a question.;;;;",i m not being nosey it s just a question ,nosey question
you don't need to worry about that.;;;;,you don t need to worry about that ,need worry
that was mean to say.;;;;,that was mean to say ,mean say
"well, it was nice talking to you.;;;;",well it was nice talking to you ,well nice talking
it was nice talking to you too.;;;;,it was nice talking to you too ,nice talking
we should really hang out again.;;;;,we should really hang out again ,really hang
that would be fun.;;;;,that would be fun ,would fun
where do you want to go?;;;;,where do you want to go ,want go
i think we should go out to eat.;;;;,i think we should go out to eat ,think go eat
that sounds good.;;;;,that sounds good ,sounds good
"all right, so i'll see you then.;;;;",all right so i ll see you then ,right see
i'll call you later.;;;;,i ll call you later ,call later
"okay, i'll talk to you later then.;;;;",okay i ll talk to you later then ,okay talk later
see you later.;;;;,see you later ,see later
i enjoyed talking to you.;;;;,i enjoyed talking to you ,enjoyed talking
i enjoyed talking to you too.;;;;,i enjoyed talking to you too ,enjoyed talking
we should hang out some time.;;;;,we should hang out some time ,hang time
i think that would be nice.;;;;,i think that would be nice ,think would nice
is there anything you would like to do next time?;;;;,is there anything you would like to do next time ,anything would like next time
do you want to go out to eat?;;;;,do you want to go out to eat ,want go eat
i'd like that.;;;;,i d like that ,like
so i'll see you next time.;;;;,so i ll see you next time ,see next time
i'm going to call you soon. ;;;;,i m going to call you soon ,going call soon
i'll talk to you later.;;;;,i ll talk to you later ,talk later
see you soon.;;;;,see you soon ,see soon
i had fun talking to you.;;;;,i had fun talking to you ,fun talking
it was really nice talking to you also.;;;;,it was really nice talking to you also ,really nice talking also
i think we should really do something sometime.;;;;,i think we should really do something sometime ,think really something sometime
that should be loads of fun.;;;;,that should be loads of fun ,loads fun
what do you want to do next time?;;;;,what do you want to do next time ,want next time
would you like to go to dinner or something?;;;;,would you like to go to dinner or something ,would like go dinner something
"yeah, let's do that.;;;;",yeah let s do that ,yeah let
"okay, until next time then.;;;;",okay until next time then ,okay next time
i'll call you so we can set that up.;;;;,i ll call you so we can set that up ,call set
talk to you then.;;;;,talk to you then ,talk
where do you live?;;;;,where do you live ,live
i live in pasadena.;;;;,i live in pasadena ,live pasadena
where is pasadena?;;;;,where is pasadena ,pasadena
it's in california.;;;;,it s in california ,california
is it in northern california?;;;;,is it in northern california ,northern california
no. it's in southern california.;;;;,no it s in southern california ,southern california
is pasadena a big city?;;;;,is pasadena a big city ,pasadena big city
it's pretty big.;;;;,it s pretty big ,pretty big
"how big is ""pretty big""?;;;;",how big is pretty big ,big pretty big
"it has about 140,000 people.;;;;",it has about people ,people
how big is los angeles?;;;;,how big is los angeles ,big los angeles
do you have a car?;;;;,do you have a car ,car
"yes, i do.;;;;",yes i do ,yes
what kind of car do you have?;;;;,what kind of car do you have ,kind car
i have a honda.;;;;,i have a honda ,honda
is it new?;;;;,is it new ,new
it was new in 2003.;;;;,it was new in ,new
"so, it's pretty old now.;;;;",so it s pretty old now ,pretty old
"yes, it is. but it still looks good.;;;;",yes it is but it still looks good ,yes still looks good
do you take good care of it?;;;;,do you take good care of it ,take good care
"oh, yes. i wash it once a week.;;;;",oh yes i wash it once a week ,oh yes wash week
do you change the oil?;;;;,do you change the oil ,change oil
do you have a girlfriend?;;;;,do you have a girlfriend ,girlfriend
"no, i don't. do you?;;;;",no i don t do you ,
"i don't have a girlfriend, either.;;;;",i don t have a girlfriend either ,girlfriend either
why not?;;;;,why not ,
i don't know. maybe i'm not rich enough.;;;;,i don t know maybe i m not rich enough ,know maybe rich enough
girls like guys with money.;;;;,girls like guys with money ,girls like guys money
they sure do.;;;;,they sure do ,sure
they like guys with new cars.;;;;,they like guys with new cars ,like guys new cars
i don't have money or a new car.;;;;,i don t have money or a new car ,money new car
"me, neither.;;;;",me neither ,neither
but girls like guys who are funny.;;;;,but girls like guys who are funny ,girls like guys funny
where are you going?;;;;,where are you going ,going
i have to walk the dog.;;;;,i have to walk the dog ,walk dog
what kind of dog do you have?;;;;,what kind of dog do you have ,kind dog
i have a little poodle.;;;;,i have a little poodle ,little poodle
poodles bark a lot.;;;;,poodles bark a lot ,poodles bark lot
they sure do.;;;;,they sure do ,sure
they bark at everything.;;;;,they bark at everything ,bark everything
they never shut up.;;;;,they never shut up ,never shut
why did you get a poodle?;;;;,why did you get a poodle ,get poodle
it's my mom's dog.;;;;,it s my mom s dog ,mom dog
so she likes poodles.;;;;,so she likes poodles ,likes poodles
can i borrow $5?;;;;,can i borrow ,borrow
sure. why do you need it?;;;;,sure why do you need it ,sure need
i want to buy lunch.;;;;,i want to buy lunch ,want buy lunch
where's your money?;;;;,where s your money ,money
it's not in my wallet.;;;;,it s not in my wallet ,wallet
your wallet is empty?;;;;,your wallet is empty ,wallet empty
i don't have even one dollar in it.;;;;,i don t have even one dollar in it ,even one dollar
being broke is no fun.;;;;,being broke is no fun ,broke fun
even if it's only for a short while.;;;;,even if it s only for a short while ,even short
it's always good to have friends.;;;;,it s always good to have friends ,always good friends
friends will lend you money when you're broke.;;;;,friends will lend you money when you re broke ,friends lend money broke
let's go to the beach.;;;;,let s go to the beach ,let go beach
that's a great idea.;;;;,that s a great idea ,great idea
we haven't been in a while.;;;;,we haven t been in a while ,
we haven't been in a month.;;;;,we haven t been in a month ,month
"the last time we went, you almost drowned.;;;;",the last time we went you almost drowned ,last time went almost drowned
"no, i didn't.;;;;",no i didn t ,
then why did the lifeguard dive into the water?;;;;,then why did the lifeguard dive into the water ,lifeguard dive water
i think he wanted to cool off.;;;;,i think he wanted to cool off ,think wanted cool
he swam right up to you.;;;;,he swam right up to you ,swam right
and then he turned right around.;;;;,and then he turned right around ,turned right around
maybe you're right.;;;;,maybe you re right ,maybe right
are you married?;;;;,are you married ,married
no. i'm divorced.;;;;,no i m divorced ,divorced
when did you get divorced?;;;;,when did you get divorced ,get divorced
i got divorced two years ago.;;;;,i got divorced two years ago ,got divorced two years ago
why did you get divorced?;;;;,why did you get divorced ,get divorced
my wife left me.;;;;,my wife left me ,wife left
why did she leave you?;;;;,why did she leave you ,leave
she said she didn't love me anymore.;;;;,she said she didn t love me anymore ,said love anymore
wow! that's terrible.;;;;,wow that s terrible ,wow terrible
"yes, it was.;;;;",yes it was ,yes
why didn't she love you anymore?;;;;,why didn t she love you anymore ,love anymore
i'm bored.;;;;,i m bored ,bored
what's on tv?;;;;,what s on tv ,tv
nothing.;;;;,nothing ,nothing
there must be something on tv!;;;;,there must be something on tv ,must something tv
nothing that's interesting.;;;;,nothing that s interesting ,nothing interesting
what about that new game show?;;;;,what about that new game show ,new game show
which one?;;;;,which one ,one
"""deal or no deal"";;;;", deal or no deal ,deal deal
tell me you're joking.;;;;,tell me you re joking ,tell joking
i love that show.;;;;,i love that show ,love show
i watched it once. that was enough.;;;;,i watched it once that was enough ,watched enough
i like living here.;;;;,i like living here ,like living
i agree. pasadena is a nice city.;;;;,i agree pasadena is a nice city ,agree pasadena nice city
it's not too big.;;;;,it s not too big ,big
and it's not too small.;;;;,and it s not too small ,small
it has great weather all year long.;;;;,it has great weather all year long ,great weather year long
it has the rose parade.;;;;,it has the rose parade ,rose parade
it has beautiful houses.;;;;,it has beautiful houses ,beautiful houses
it has wonderful restaurants.;;;;,it has wonderful restaurants ,wonderful restaurants
it has great schools.;;;;,it has great schools ,great schools
it's close to the mountains.;;;;,it s close to the mountains ,close mountains
the people are friendly.;;;;,the people are friendly ,people friendly
we need a new mattress.;;;;,we need a new mattress ,need new mattress
what's the matter with this one?;;;;,what s the matter with this one ,matter one
it's not comfortable.;;;;,it s not comfortable ,comfortable
it seems fine to me.;;;;,it seems fine to me ,seems fine
i toss and turn all night.;;;;,i toss and turn all night ,toss turn night
you should stop drinking coffee.;;;;,you should stop drinking coffee ,stop drinking coffee
look at these marks on my arms.;;;;,look at these marks on my arms ,look marks arms
what are they?;;;;,what are they ,
they are bites.;;;;,they are bites ,bites
did the cat bite you?;;;;,did the cat bite you ,cat bite
no. the bedbugs in that mattress bit me.;;;;,no the bedbugs in that mattress bit me ,bedbugs mattress bit
my laptop is so slow.;;;;,my laptop is so slow ,laptop slow
buy a new one.;;;;,buy a new one ,buy new one
i would if i had the money.;;;;,i would if i had the money ,would money
why is it so slow?;;;;,why is it so slow ,slow
that's a good question.;;;;,that s a good question ,good question
did you take it to a computer shop?;;;;,did you take it to a computer shop ,take computer shop
i would if i had the money.;;;;,i would if i had the money ,would money
"well, i guess you have to live with it.;;;;",well i guess you have to live with it ,well guess live
sometimes i want to throw it out the window.;;;;,sometimes i want to throw it out the window ,sometimes want throw window
you don't want to do that.;;;;,you don t want to do that ,want
why not?;;;;,why not ,
what's for dinner?;;;;,what s for dinner ,dinner
i'm not sure.;;;;,i m not sure ,sure
how about a pizza?;;;;,how about a pizza ,pizza
you had pizza for lunch.;;;;,you had pizza for lunch ,pizza lunch
but i love pizza.;;;;,but i love pizza ,love pizza
everybody loves pizza.;;;;,everybody loves pizza ,everybody loves pizza
so why can't i have pizza for dinner?;;;;,so why can t i have pizza for dinner ,pizza dinner
because you need variety.;;;;,because you need variety ,need variety
"what's ""variety?;;;;",what s variety ,variety
different thingsÂ—not the same thing all the time.;;;;,different thingsnot the same thing all the time ,different thingsnot thing time
"you mean, like a pepperoni pizza instead of a cheese pizza?;;;;",you mean like a pepperoni pizza instead of a cheese pizza ,mean like pepperoni pizza instead cheese pizza
we need to save money.;;;;,we need to save money ,need save money
why do we need to save money?;;;;,why do we need to save money ,need save money
because we need to buy a house.;;;;,because we need to buy a house ,need buy house
but a house is so expensive.;;;;,but a house is so expensive ,house expensive
that's why we need to save money.;;;;,that s why we need to save money ,need save money
how much do we need to save?;;;;,how much do we need to save ,much need save
we need to save enough for a down payment.;;;;,we need to save enough for a down payment ,need save enough payment
how much is that?;;;;,how much is that ,much
"that's about $30,000.;;;;",that s about ,
thirty thousand dollars! that will take forever.;;;;,thirty thousand dollars that will take forever ,thirty thousand dollars take forever
not if we save every penny.;;;;,not if we save every penny ,save every penny
the ocean is so big.;;;;,the ocean is so big ,ocean big
you can't see the end of it.;;;;,you can t see the end of it ,see end
it goes on and on forever.;;;;,it goes on and on forever ,goes forever
"and it's deep, too.;;;;",and it s deep too ,deep
i think it's five miles deep.;;;;,i think it s five miles deep ,think five miles deep
are there fish at the bottom?;;;;,are there fish at the bottom ,fish bottom
there are fish at the top and the bottom.;;;;,there are fish at the top and the bottom ,fish top bottom
are there more fish or more people?;;;;,are there more fish or more people ,fish people
i think there are more fish.;;;;,i think there are more fish ,think fish
i'm upset with my mom.;;;;,i m upset with my mom ,upset mom
why is that?;;;;,why is that ,
i warned her about her new boyfriend. she didn't listen to me.;;;;,i warned her about her new boyfriend she didn t listen to me ,warned new boyfriend listen
what happened?;;;;,what happened ,happened
"i gave her $1,000 for her birthday. i told her to spend it on herself.;;;;",i gave her for her birthday i told her to spend it on herself ,gave birthday told spend
that was very nice of you.;;;;,that was very nice of you ,nice
i found out that she gave it to her new boyfriend.;;;;,i found out that she gave it to her new boyfriend ,found gave new boyfriend
why did she do that?;;;;,why did she do that ,
he said he would buy her a nice ring.;;;;,he said he would buy her a nice ring ,said would buy nice ring
what's wrong with that?;;;;,what s wrong with that ,wrong
he went to las vegas. he lost it all gambling.;;;;,he went to las vegas he lost it all gambling ,went las vegas lost gambling
do animals talk to each other?;;;;,do animals talk to each other ,animals talk
of course they talk to each other.;;;;,of course they talk to each other ,course talk
what do they talk about?;;;;,what do they talk about ,talk
they talk about other animals.;;;;,they talk about other animals ,talk animals
what else do they talk about?;;;;,what else do they talk about ,else talk
they talk about food and the weather.;;;;,they talk about food and the weather ,talk food weather
do they talk about us?;;;;,do they talk about us ,talk us
of course they talk about us.;;;;,of course they talk about us ,course talk us
what do they say about us?;;;;,what do they say about us ,say us
they say that we are funny-looking.;;;;,they say that we are funny looking ,say funny looking
ha! we're not funny-looking; animals are funny-looking.;;;,ha we re not funny looking animals are funny looking ,ha funny looking animals funny looking
i have to clean the house.;;;;,i have to clean the house ,clean house
"yes, it's very dirty.;;;;",yes it s very dirty ,yes dirty
you can help me.;;;;,you can help me ,help
why me?;;;;,why me ,
because you helped make it dirty.;;;;,because you helped make it dirty ,helped make dirty
what do you want me to do?;;;;,what do you want me to do ,want
i want you to clean the bathroom.;;;;,i want you to clean the bathroom ,want clean bathroom
"oh, that's easy.;;;;",oh that s easy ,oh easy
"clean the sink, the tub, the counter, and the toilet.;;;;",clean the sink the tub the counter and the toilet ,clean sink tub counter toilet
that's a lot of work.;;;;,that s a lot of work ,lot work
tell me when you finish.;;;;,tell me when you finish ,tell finish
you're watching too much tv.;;;;,you re watching too much tv ,watching much tv
what do you mean?;;;;,what do you mean ,mean
i mean you're wasting your life.;;;;,i mean you re wasting your life ,mean wasting life
i'm having fun.;;;;,i m having fun ,fun
you're sitting there with your mouth open.;;;;,you re sitting there with your mouth open ,sitting mouth open
who cares?;;;;,who cares ,cares
i care. do something.;;;;,i care do something ,care something
okay. i did something.;;;;,okay i did something ,okay something
what did you do?;;;;,what did you do ,
i turned up the volume.;;;;,i turned up the volume ,turned volume
"that's not what i meant by ""do something."";;;;",that s not what i meant by do something ,meant something
did you write a letter to grandma?;;;;,did you write a letter to grandma ,write letter grandma
"yes, i did.;;;;",yes i did ,yes
did you tell her about school?;;;;,did you tell her about school ,tell school
i told her that school is fun.;;;;,i told her that school is fun ,told school fun
did you put the letter in an envelope?;;;;,did you put the letter in an envelope ,put letter envelope
"yes, and i sealed the envelope.;;;;",yes and i sealed the envelope ,yes sealed envelope
did you put a stamp on the envelope?;;;;,did you put a stamp on the envelope ,put stamp envelope
i couldn't find any stamps.;;;;,i couldn t find any stamps ,find stamps
they're in the kitchen drawer.;;;;,they re in the kitchen drawer ,kitchen drawer
okay. i just put a stamp on the envelope.;;;;,okay i just put a stamp on the envelope ,okay put stamp envelope
"give me the envelope, and i'll mail it for you.;;;;",give me the envelope and i ll mail it for you ,give envelope mail
why are you yawning?;;;;,why are you yawning ,yawning
i'm sleepy.;;;;,i m sleepy ,sleepy
why don't you go to bed?;;;;,why don t you go to bed ,go bed
i want to watch this tv show.;;;;,i want to watch this tv show ,want watch tv show
maybe you should record it.;;;;,maybe you should record it ,maybe record
the tape recorder is broken.;;;;,the tape recorder is broken ,tape recorder broken
then you should watch the rerun.;;;;,then you should watch the rerun ,watch rerun
why? i'm watching the original.;;;;,why i m watching the original ,watching original
but you'll be asleep in about one minute.;;;;,but you ll be asleep in about one minute ,asleep one minute
i'm just yawning because the commercials are on.;;;;,i m just yawning because the commercials are on ,yawning commercials
okay. i'll tell you how the show ends.;;;;,okay i ll tell you how the show ends ,okay tell show ends
it's sunday.;;;;,it s sunday ,sunday
so?;;;;,so ,
you know what that means.;;;;,you know what that means ,know means
i forgot.;;;;,i forgot ,forgot
sunday means we go to church.;;;;,sunday means we go to church ,sunday means go church
"oh, yeah.;;;;",oh yeah ,oh yeah
put on a coat and tie.;;;;,put on a coat and tie ,put coat tie
why?;;;;,why ,
to show respect to god and others.;;;;,to show respect to god and others ,show respect god others
i'm glad sunday is only once a week.;;;;,i m glad sunday is only once a week ,glad sunday week
i hope god didn't hear that.;;;;,i hope god didn t hear that ,hope god hear
did you feed the cat?;;;;,did you feed the cat ,feed cat
i'll do that in a minute.;;;;,i ll do that in a minute ,minute
the cat is meowing. he's hungry.;;;;,the cat is meowing he s hungry ,cat meowing hungry
okay. i'll feed him right now.;;;;,okay i ll feed him right now ,okay feed right
you shouldn't make him wait.;;;;,you shouldn t make him wait ,make wait
i was doing my homework.;;;;,i was doing my homework ,homework
the cat doesn't care about your homework.;;;;,the cat doesn t care about your homework ,cat care homework
the cat doesn't care about anything.;;;;,the cat doesn t care about anything ,cat care anything
that's the way cats are.;;;;,that s the way cats are ,way cats
all they think about is themselves.;;;;,all they think about is themselves ,think
maybe we should get rid of him.;;;;,maybe we should get rid of him ,maybe get rid
i hate shaving.;;;;,i hate shaving ,hate shaving
me too.;;;;,me too ,
i just cut myself again.;;;;,i just cut myself again ,cut
did you use a new blade?;;;;,did you use a new blade ,use new blade
"it doesn't matter. old blades cut, new blades cut.;;;;",it doesn t matter old blades cut new blades cut ,matter old blades cut new blades cut
maybe you should use an electric shaver.;;;;,maybe you should use an electric shaver ,maybe use electric shaver
"they make a lot of noise, but they don't give a close shave.;;;;",they make a lot of noise but they don t give a close shave ,make lot noise give close shave
maybe you should stop shaving.;;;;,maybe you should stop shaving ,maybe stop shaving
and grow a beard?;;;;,and grow a beard ,grow beard
sure. why not?;;;;,sure why not ,sure
because food and other stuff sticks in my beard.;;;;,because food and other stuff sticks in my beard ,food stuff sticks beard
excuse me.;;;;,excuse me ,excuse
yes?;;;;,yes ,yes
are you reading this paper?;;;;,are you reading this paper ,reading paper
"oh, no. help yourself.;;;;",oh no help yourself ,oh help
i asked because the paper is sitting next to you.;;;;,i asked because the paper is sitting next to you ,asked paper sitting next
thank you. that's polite of you to ask.;;;;,thank you that s polite of you to ask ,thank polite ask
some people would just pick it up.;;;;,some people would just pick it up ,people would pick
"yes, i know. some people are rude.;;;;",yes i know some people are rude ,yes know people rude
i always try to be polite.;;;;,i always try to be polite ,always try polite
so do i.;;;;,so do i ,
the world needs more polite people like us.;;;;,the world needs more polite people like us ,world needs polite people like us
"mom, i want a puppy.;;;;",mom i want a puppy ,mom want puppy
let me think about it.;;;;,let me think about it ,let think
why do you have to think about it?;;;;,why do you have to think about it ,think
because a puppy costs money.;;;;,because a puppy costs money ,puppy costs money
"no, it doesn't. puppies are free.;;;;",no it doesn t puppies are free ,puppies free
"yes, but a puppy needs shots.;;;;",yes but a puppy needs shots ,yes puppy needs shots
shots for what?;;;;,shots for what ,shots
so it won't get sick. just like you get shots.;;;;,so it won t get sick just like you get shots ,get sick like get shots
i hate shots.;;;;,i hate shots ,hate shots
and a puppy eats food. food costs money.;;;;,and a puppy eats food food costs money ,puppy eats food food costs money
no problem. i'll give him food off my plate.;;;;,no problem i ll give him food off my plate ,problem give food plate
look at all these kittens!;;;;,look at all these kittens ,look kittens
how many are there?;;;;,how many are there ,many
eight.;;;;,eight ,eight
they're all so cute.;;;;,they re all so cute ,cute
"yes, but i can't keep them.;;;;",yes but i can t keep them ,yes keep
what are you going to do with them?;;;;,what are you going to do with them ,going
i'm going to give them away. do you want one?;;;;,i m going to give them away do you want one ,going give away want one
"yes, i would love one.;;;;",yes i would love one ,yes would love one
which one do you want?;;;;,which one do you want ,one want
that one. the one that's all black.;;;;,that one the one that s all black ,one one black
"yes, i like that one, too.;;;;",yes i like that one too ,yes like one
my parents go to church every sunday.;;;;,my parents go to church every sunday ,parents go church every sunday
they trust in god.;;;;,they trust in god ,trust god
they hope they will go to heaven.;;;;,they hope they will go to heaven ,hope go heaven
they probably will.;;;;,they probably will ,probably
but no one knows for sure.;;;;,but no one knows for sure ,one knows sure
that's for sure.;;;;,that s for sure ,sure
no one knows what happens after we die.;;;;,no one knows what happens after we die ,one knows happens die
"if we are good, we will be happy in heaven with god.;;;;",if we are good we will be happy in heaven with god ,good happy heaven god
that's what many people believe.;;;;,that s what many people believe ,many people believe
"if we are bad, we will be unhappy forever in hell.;;;;",if we are bad we will be unhappy forever in hell ,bad unhappy forever hell
i don't want to go to hell.;;;;,i don t want to go to hell ,want go hell
my husband died.;;;;,my husband died ,husband died
i'm sorry for you.;;;;,i m sorry for you ,sorry
thank you.;;;;,thank you ,thank
when did he die?;;;;,when did he die ,die
a couple of months ago.;;;;,a couple of months ago ,couple months ago
you still miss him.;;;;,you still miss him ,still miss
"yes, but i talk to him almost every day.;;;;",yes but i talk to him almost every day ,yes talk almost every day
when you go to church?;;;;,when you go to church ,go church
"no, when i call him on his cell phone.;;;;",no when i call him on his cell phone ,call cell phone
what do you mean?;;;;,what do you mean ,mean
i buried him with his cell phone.;;;;,i buried him with his cell phone ,buried cell phone
today is friday the thirteenth.;;;;,today is friday the thirteenth ,today friday thirteenth
that's a bad day.;;;;,that s a bad day ,bad day
it's supposed to be unlucky.;;;;,it s supposed to be unlucky ,supposed unlucky
you're supposed to stay home all day.;;;;,you re supposed to stay home all day ,supposed stay home day
that's what i do.;;;;,that s what i do ,
my friend stayed in a hotel on friday the thirteenth.;;;;,my friend stayed in a hotel on friday the thirteenth ,friend stayed hotel friday thirteenth
that was a mistake.;;;;,that was a mistake ,mistake
he stayed on the thirteenth floor.;;;;,he stayed on the thirteenth floor ,stayed thirteenth floor
what happened?;;;;,what happened ,happened
someone stole his laptop.;;;;,someone stole his laptop ,someone stole laptop
he was asking for it.;;;;,he was asking for it ,asking
do you really love me?;;;;,do you really love me ,really love
of course.;;;;,of course ,course
prove it.;;;;,prove it ,prove
how can i prove it?;;;;,how can i prove it ,prove
take me to dinner.;;;;,take me to dinner ,take dinner
that's it? that's all i have to do?;;;;,that s it that s all i have to do ,
"take me to a nice restaurant, not to mcdonald's.;;;;",take me to a nice restaurant not to mcdonald s ,take nice restaurant mcdonald
but a nice restaurant costs money.;;;;,but a nice restaurant costs money ,nice restaurant costs money
"yes, and you have to make a reservation.;;;;",yes and you have to make a reservation ,yes make reservation
that's such a hassle.;;;;,that s such a hassle ,hassle
i knew you didn't love me.;;;;,i knew you didn t love me ,knew love
my parents are divorced.;;;;,my parents are divorced ,parents divorced
so are mine.;;;;,so are mine ,mine
why did your parents get divorced?;;;;,why did your parents get divorced ,parents get divorced
my father found a new girlfriend.;;;;,my father found a new girlfriend ,father found new girlfriend
that's too bad.;;;;,that s too bad ,bad
my mother was hurt and angry.;;;;,my mother was hurt and angry ,mother hurt angry
she had good reason. what did she do?;;;;,she had good reason what did she do ,good reason
she told him to drop his girlfriend.;;;;,she told him to drop his girlfriend ,told drop girlfriend
what did your father do?;;;;,what did your father do ,father
he moved out of our house.;;;;,he moved out of our house ,moved house
i guess he really liked his new girlfriend.;;;;,i guess he really liked his new girlfriend ,guess really liked new girlfriend
my grandma's apartment smells funny.;;;;,my grandma s apartment smells funny ,grandma apartment smells funny
so does mine.;;;;,so does mine ,mine
i think it's an old people's smell.;;;;,i think it s an old people s smell ,think old people smell
really?;;;;,really ,really
